Food class level 1,Metrics,Concentration levels,Concentration levels,Concentration levels,Concentration levels
,Country,Sweden,Sweden,United Kingdom,United Kingdom
,Food (FoodEx2 description),Microgram/100 gram,Milligram/100 gram,Microgram/100 gram,Milligram/100 gram
"Additives,flavours, baking and processing aids","Artificial sweeteners (e.g., aspartam, saccharine)",0,0,0,0
,Aspartame,0,0,0,0
,Baking yeast,1,1102.75,1,3654.77
,Cyclamate,0,0,0,0
,Flavour enhancer,0,0,0,0
,Modified starch,0,24.288,0,24.288
,Preparations for gelling home-made food,0,1014.2,0,1014.2
,Preparations for pickling vegetables,0,0,0,0
,Preparations for raising and flavouring home-made bakery,0,8461.801,0,9621.807
,Saccharine,0,4.05,0,0
,Vanilla essence,0,0,0,0
,Vanilla pods extract,0,1887.733,0,1887.733
Alcoholic beverages,Alcopop and flavoured wine,,,0,12.001
,Ale beer,0.1,94.095,0.1,58.344
,"Beer, alcohol-free",,,0.02,74.07
,"Beer, light",0,52.741,0.02,64.023
,"Beer, regular",0,62.804,0.03,71.12
,"Beer, strong",0,76.75,0.02,185.72
,Brandy,0,0,0,0.361
,Champagne-like wine,,,0.03,73.693
,Chocolate liqueur,0,40.29,0,0.164
,Cider,0,34.5107,0,86.6
,Cocktail drink,,,0.184,65.416
,Coffee liqueur,0,40.385,0,0.12
,Cream liqueur,0,71.724,0,78.805
,Egg liqueur,10.5,85.184,10.53,161.041
,Fruit liqueur,0,0,0,0.02
,Gin,0,0,,
,Herb liqueur,0,0.269,0,0.02
,Ice wine,0,148.933,0,148.933
,Lager beer,0.14,53.479,0.12,71.153
,Low-malt beers,0,89.163,0,89.163
,Madeira,0.1,120.714,0,110.75
,Mixed beer drinks,0.1,51.872,0.1,51.872
,Noble rot wine,0.5,148.933,0.5,148.933
,Port,0.1,120.714,0,124.83
,Raisin wine,0.1,120.827,0.1,120.827
,Red or ros� sparkling wine,0,99.094,0,99.094
,Rum,0,0.013,0,101.82
,Shandy,0.1,51.872,0,20.55
,Sherry,0,172.524,0,92.61
,Spirits made from stone fruits,0,8.169,0,8.039
,Stout beer,0.1,78.641,0.1,87.401
,Tequila and similar spirits,0,8.039,0,8.039
,Vermouth,0.1,120.714,0,53.41
,Vodka and vodka-like spirits,0,,0,101.82
,Wheat beer,0,46.066,0,46.066
,Whisky,0,0.05,,
,"Wine, red",0.1,133.35,0,142.21
,"Wine, ros�",,,0,101.15
,"Wine, white",0.1,137.729,0,109.97
Animal and vegetable fats and oils,Beef tallow (including processed suet),0,3.13,0,2.97
,Blended fat and oils,6.5,84.394,6.6,59.401
,"Blended fat and oils, QUAL Half fat or medium fat",24.6,93.0244,24.8,446.62
,"Blended fat and oils, QUAL Low fat (naturally or reduced)",0.7,359.5159,1.2,645.944
,"Blended fat and oils, QUAL Low sodium / reduced salt",6.1,135.195,6.1,135.175
,Blended frying oil/fats,80,85.211,74.3,3.12
,Blended margarine,0.1,74.352,0.476,88.821
,"Blended margarine, QUAL Half fat or medium fat",43.2,101.76,77.2,149.898
,"Blended margarine, QUAL Low fat (naturally or reduced)",77.2,146.018,77.2,146.018
,"Blended margarine, QUAL Low sodium / reduced salt",43,33.321,43,33.321
,Butter,0.5,64.398,8.3,72.24
,Butter and margarine/oil blends,,,,59.35
,"Butter and margarine/oil blends, QUAL Half fat or medium fat",0.3,84.9,0.3,84.9
,"Butter and margarine/oil blends, QUAL Low fat (naturally or reduced)",1.3,109.11,1.3,109.11
,Butter oil,8.6,69.3536,8.6,69.871
,"Butter, QUAL Half fat or medium fat",,,0.8,85.926
,"Butter, QUAL Low fat (naturally or reduced)",1.5,381.491,1.3,85.127
,Cocoa butter,0,1.8,15,2.05
,Coconut oil/fat,10,0.132,10,1.799
,Cod liver oil,0.005,31.371,0.005,23.141
,"Cotton seed oil, edible",0,35.3,0,46.806
,Functional vegetable margarines/fats,,,0,79.83
,"Functional vegetable margarines/fats, QUAL Half fat or medium fat",0.2,39.941,,38.75
,"Functional vegetable margarines/fats, QUAL Low fat (naturally or reduced)",,28,,28
,Ghee,8,15.051,8,19.851
,Grape seed oil,0,28.8,0,29.824
,Herring oil,0,49.13,0,49.13
,Linseed oil,21.6,6.67,0,4
,"Maize oil, edible",0,29,,
,"Olive oil, refined",0,11.9,0,5.11
,"Olive oil, virgin or extra-virgin",55,16.092,55,5.51
,"Palm kernel oil, edible",8,15.95,0,26.6
,Palm oil/fat,8,6.1,8,37.531
,"Peanut oil, edible",0,13.043,1,15.16
,Pork lard,7,7.42,0,7.637
,"Poultry fats, processed",0,2.72,0,9.8
,Processed fat (blubber) of marine mammals,0.005,31.371,0.005,31.371
,Pumpkin seed oil,0,4.5,0,4.5
