Food class level 1,Metrics,Concentration levels,Concentration levels
,Country,United Kingdom,United Kingdom
,Food (FoodEx2 description),Microgram/100 gram,Milligram/100 gram
"Additives,flavours, baking and processing aids","Artificial sweeteners (e.g., aspartam, saccharine)",0,0
,Aspartame,0,0
,Baking yeast,1,3654.77
,Cyclamate,0,0
,Flavour enhancer,0,0
,Modified starch,0,24.288
,Preparations for gelling home-made food,0,1014.2
,Preparations for pickling vegetables,0,0
,Preparations for raising and flavouring home-made bakery,0,9621.807
,Saccharine,0,0
,Vanilla essence,0,0
,Vanilla pods extract,0,1887.733
Alcoholic beverages,Alcopop and flavoured wine,0,12.001
,Ale beer,0.1,58.344
,"Beer, alcohol-free",0.02,74.07
,"Beer, light",0.02,64.023
,"Beer, regular",0.03,71.12
,"Beer, strong",0.02,185.72
,Brandy,0,0.361
,Champagne-like wine,0.03,73.693
,Chocolate liqueur,0,0.164
,Cider,0,86.6
,Cocktail drink,0.184,65.416
,Coffee liqueur,0,0.12
,Cream liqueur,0,78.805
,Egg liqueur,10.53,161.041
,Fruit liqueur,0,0.02
,Gin,,
,Herb liqueur,0,0.02
,Ice wine,0,148.933
,Lager beer,0.12,71.153
,Low-malt beers,0,89.163
,Madeira,0,110.75
,Mixed beer drinks,0.1,51.872
,Noble rot wine,0.5,148.933
,Port,0,124.83
,Raisin wine,0.1,120.827
,Red or ros� sparkling wine,0,99.094
,Rum,0,101.82
,Shandy,0,20.55
,Sherry,0,92.61
,Spirits made from stone fruits,0,8.039
,Stout beer,0.1,87.401
,Tequila and similar spirits,0,8.039
,Vermouth,0,53.41
,Vodka and vodka-like spirits,0,101.82
,Wheat beer,0,46.066
,Whisky,,
,"Wine, red",0,142.21
,"Wine, ros�",0,101.15
,"Wine, white",0,109.97
Animal and vegetable fats and oils,Beef tallow (including processed suet),0,2.97
,Blended fat and oils,6.6,59.401
,"Blended fat and oils, QUAL Half fat or medium fat",24.8,446.62
,"Blended fat and oils, QUAL Low fat (naturally or reduced)",1.2,645.944
,"Blended fat and oils, QUAL Low sodium / reduced salt",6.1,135.175
,Blended frying oil/fats,74.3,3.12
,Blended margarine,0.476,88.821
,"Blended margarine, QUAL Half fat or medium fat",77.2,149.898
,"Blended margarine, QUAL Low fat (naturally or reduced)",77.2,146.018
,"Blended margarine, QUAL Low sodium / reduced salt",43,33.321
,Butter,8.3,72.24
,Butter and margarine/oil blends,,59.35
,"Butter and margarine/oil blends, QUAL Half fat or medium fat",0.3,84.9
,"Butter and margarine/oil blends, QUAL Low fat (naturally or reduced)",1.3,109.11
,Butter oil,8.6,69.871
,"Butter, QUAL Half fat or medium fat",0.8,85.926
,"Butter, QUAL Low fat (naturally or reduced)",1.3,85.127
,Cocoa butter,15,2.05
,Coconut oil/fat,10,1.799
,Cod liver oil,0.005,23.141
,"Cotton seed oil, edible",0,46.806
,Functional vegetable margarines/fats,0,79.83
,"Functional vegetable margarines/fats, QUAL Half fat or medium fat",,38.75
,"Functional vegetable margarines/fats, QUAL Low fat (naturally or reduced)",,28
,Ghee,8,19.851
,Grape seed oil,0,29.824
,Herring oil,0,49.13
,Linseed oil,0,4
,"Maize oil, edible",,
,"Olive oil, refined",0,5.11
,"Olive oil, virgin or extra-virgin",55,5.51
,"Palm kernel oil, edible",0,26.6
,Palm oil/fat,8,37.531
,"Peanut oil, edible",1,15.16
,Pork lard,0,7.637
,"Poultry fats, processed",0,9.8
,Processed fat (blubber) of marine mammals,0.005,31.371
,Pumpkin seed oil,0,4.5
,"Rape seed oil, edible",113,25.36
,"Safflower seed oil, edible",22,86.6
,"Sesame seed oil, edible",10,30.7
,Shortening and similar baking fats,13.8,26.78
,"Shortening and similar baking fats, QUAL Half fat or medium fat",0,93.1
,"Shortening and similar baking fats, QUAL Low fat (naturally or reduced)",,400.67
,"Shortening and similar baking fats, QUAL Low sodium / reduced salt",0,113.4
,"Soya bean oil, refined",132,20.17
,Spreadable vegetable fat-deprecated,43,77.2
,"Spreadable vegetable fat-deprecated, QUAL Half fat or medium fat",88.5,177.426
,"Spreadable vegetable fat-deprecated, QUAL Low fat (naturally or reduced)",88.5,156.926
,"Spreadable vegetable fat-deprecated, QUAL Low sodium / reduced salt",43,97.17
,"Sunflower seed oil, edible",8.3,49.33
,Tallow from other animals,0,18.49
,Traditional margarine,43,55.123
,"Traditional margarine, QUAL Half fat or medium fat",45.5,188.2
,"Traditional margarine, QUAL Low fat (naturally or reduced)",45.5,119.7
,"Traditional margarine, QUAL Low sodium / reduced salt",43,97.17
,Walnut oil,15,1.44
,Wheat germ oil,24,144.551
"Coffee, cocoa, tea and infusions",Camomile infusion,0.1,12.189
,Chicory coffee infusion,0.9,39.328
,Chicory coffee ingredient,9.4,237.63
,Cocoa beans (fermented or dried),5.2,5159.294
,Cocoa beverages,1.8,421.02
,"Cocoa beverages, QUAL Low / Reduced sugar",3.2,409.095
,"Cocoa beverages, QUAL Sugar free",1.4,446.007
,Cocoa mass,8.4,5159.294
,Cocoa powder,18.3,2837.047
,"Cocoa powder, QUAL Low / Reduced sugar",5.2,5155.744
,"Cocoa powder, QUAL Sugar free",5.2,5155.744
,Coffee (average strenght) beverage,0,110.84
,Coffee (weak strenght) beverage,0,76.74
,"Coffee beans, roasted",10,2566.241
,Coffee beverage decaffeinated,0.1,77.024
,"Coffee drink, caf� macchiato",0.4,349.44
,"Coffee drink, cappuccino",1.21,198.048
,Coffee espresso (beverage),0,136.437
,"Coffee ground, roasted",10,2566.241
,"Coffee ground, roasted and decaffeinated",5,2565.9
,Coffee with milk or cream,0,56.96
,Fermented tea infusion,0,78.387
,Flowers used for herbal infusions,0,1073.183
,Fruit infusion,0.1,12.189
,Herbal infusion materials from leaves and herbs,262,2350.582
,Hot chocolate,1.8,421.02
,Hot chocolate with added ingredients,0.23,455.84
,"Hot chocolate with added ingredients, QUAL Sugar free",1.1,309.357
,"Hot chocolate, QUAL Low / Reduced sugar",2.2,409.32
,"Hot chocolate, QUAL Sugar free",1.4,446.007
,Instant coffee (beverage),0,40.56
,Instant coffee powder,9,4594.29
,"Instant coffee powder, decaffeinated",17.3,4272.568
,"Instant coffee powder, decaffeinated, QUAL Low / Reduced sugar",17.3,4272.568
,"Instant coffee powder, decaffeinated, QUAL Sugar free",17.3,4272.568
,"Instant coffee powder, QUAL Low / Reduced sugar",0.03,4907.649
,"Instant coffee powder, QUAL Sugar free",0.03,4907.649
,Jasmine infusion,0.1,12.189
,Malt coffee infusion,1.1,60.45
,Mixed coffee imitates,9.4,792.16
,Non-fermented tea leaves (green or white tea),262,2350.582
,"Non-fermented tea, infusion",0.1,26.749
,Rooibos infusion,0.1,12.189
,Tea infusion with added flavouring ingredients,,
,Tea leaves and stalks decaffeinated,267.4,2350.582
