Food class level 1,Metrics,Concentration levels,Concentration levels,Concentration levels,Concentration levels,Concentration levels,Concentration levels,Concentration levels,Concentration levels,Concentration levels,Concentration levels,Concentration levels,Concentration levels,Concentration levels,Concentration levels
,Country,Finland,Finland,France,France,Germany,Germany,Italy,Italy,Netherlands,Netherlands,Sweden,Sweden,United Kingdom,United Kingdom
,Food (FoodEx2 description),Microgram/100 gram,Milligram/100 gram,Microgram/100 gram,Milligram/100 gram,Microgram/100 gram,Milligram/100 gram,Microgram/100 gram,Milligram/100 gram,Microgram/100 gram,Milligram/100 gram,Microgram/100 gram,Milligram/100 gram,Microgram/100 gram,Milligram/100 gram
"Additives,flavours, baking and processing aids","Artificial sweeteners (e.g., aspartam, saccharine)",,,0,0,0,0,0,0,0,0,0,0,0,0
,Aspartame,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Baking yeast,1,1045.87,10.3,3910.06,1,1196.919,10.3,1265.22,1,1109.64,1,1102.75,1,3654.77
,Cyclamate,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Flavour enhancer,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Modified starch,0,24.288,0,24.288,0,24.288,0,24.288,0,24.288,0,24.288,0,24.288
,Preparations for gelling home-made food,0,1014.2,0,1014.2,0,1014.2,0,1014.2,0,1014.2,0,1014.2,0,1014.2
,Preparations for pickling vegetables,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Preparations for raising and flavouring home-made bakery,0,8461.801,0,9621.807,0,9621.807,0,9621.807,0,9621.807,0,8461.801,0,9621.807
,Saccharine,0,4.05,0,0,0,0,0,0,0,4.05,0,4.05,0,0
,Vanilla essence,0,0,0,0,0,0,0,177.84,0,0,0,0,0,0
,Vanilla pods extract,0,1887.733,0,1887.733,0,1887.733,0,1887.733,0,1887.733,0,1887.733,0,1887.733
Alcoholic beverages,Alcopop and flavoured wine,,,0,11.076,0,11.076,0,11.076,0,12.001,,,0,12.001
,Ale beer,0.1,94.095,0.1,94.095,0.1,94.095,0,71.043,0.1,58.344,0.1,94.095,0.1,58.344
,"Beer, alcohol-free",0.1,62.551,1.133,39.5175,0,74.094,0,86.95,0.02,45.828,,,0.02,74.07
,"Beer, light",0.1,60.041,0.21,39.009,0.1,88.045,0,64.013,0.02,45.768,0,52.741,0.02,64.023
,"Beer, regular",0.1,77.004,0.95,70.007,0.11,102.101,0.95,72.424,0.03,94.205,0,62.804,0.03,71.12
,"Beer, strong",0.1,90.98,0.1,96.642,0.51,107.621,0,87.83,0.02,84.698,0,76.75,0.02,185.72
,Brandy,0,0,0,1.991,0,8.039,0,2.091,0,0.36,0,0,0,0.361
